Serial Number,Assamese Text,Sentiment,English Translation
54,এই কেমেৰাৰ ওপৰত মোৰ সন্তুষ্টি সীমাহীন; ই সত্যই আকর্ষণীয়।,positive,My satisfaction with this camera is limitless; it truly is attractive.
55,এই ভ্ৰমণ উজ্জ্বল আৰু ইয়াৰ বিষয়ে সদায় ভাল কথা শুনা যায়।,positive,This trip is brilliant and you always hear good things about it.
56,আমাৰ বন্ধুবান্ধৱীয়ে এই মুভিৰ গতি অভূতপূর্ব বুলি কয়।,positive,My friends say the speed of this movie is exceptional.
57,এই খেলা ম্যাচ মোৰ আশাতকৈও মনোমোহা আছিল।,positive,This sports match was more delightful than I expected.
58,এয়া চেন্নাইত সৰ্বশ্ৰেষ্ঠ ভ্ৰমণ। ই অতিশয় মনোমোহা।,positive,This is the best trip in Chennai. It is extremely delightful.
59,মই খেল উপভোগ কৰোঁ আৰু অভিজ্ঞতা খুব মনোমোহা।,positive,I enjoy the game and the experience is very delightful.
60,মই মুভি উপভোগ কৰোঁ আৰু অভিজ্ঞতা খুব অতি সন্তোষজনক।,positive,I enjoy the movie and the experience is very very satisfying.
61,এই কেমেৰাৰ গতি আকর্ষণীয়। মই ইয়াক অতি পছন্দ কৰোঁ।,positive,The speed of this camera is attractive. I like it very much.
62,এয়া কলকাতাত সৰ্বশ্ৰেষ্ঠ ফিল্ম। ই অতিশয় অতি ভাল।,positive,This is the best film in Kolkata. It is extremely very good.
63,মই বেকাৰীৰ বাতাবৰণৰ ব্যাপক প্রশংসা কৰোঁ।,positive,I highly appreciate the ambience of the bakery.
64,আমাৰ বন্ধুবান্ধৱীয়ে এই কেমেৰাৰ কাৰ্যক্ষমতা অভূতপূর্ব বুলি কয়।,positive,My friends say the performance of this camera is exceptional.
65,মই কেমেৰাৰ সেৱাৰ ব্যাপক প্রশংসা কৰোঁ।,positive,I highly appreciate the service of the camera.
66,এয়া কলকাতাত সৰ্বশ্ৰেষ্ঠ বেকাৰী। ই অতিশয় উজ্জ্বল।,positive,This is the best bakery in Kolkata. It is extremely brilliant.
67,এই সাধাৰণ সেৱা মোৰ আশাতকৈও অতি ভাল আছিল।,positive,This service was more very good than I expected.
68,এই সাধাৰণ সেৱাৰ ওপৰত মোৰ সন্তুষ্টি সীমাহীন; ই সত্যই সুন্দৰ।,positive,My satisfaction with this service is limitless; it truly is beautiful.
69,এই গান এলবাম মোৰ আশাতকৈও অতি ভাল আছিল।,positive,This music album was more very good than I expected.
70,এই বাতৰিবাৰ্তা মোৰ আশাতকৈও অতি সন্তোষজনক আছিল।,positive,This news article was more very satisfying than I expected.
71,এই বেকাৰীৰ ওপৰত মোৰ সন্তুষ্টি সীমাহীন; ই সত্যই অভূতপূর্ব।,positive,My satisfaction with this bakery is limitless; it truly is exceptional.
72,মই হোটেল উপভোগ কৰোঁ আৰু অভিজ্ঞতা খুব অতি ভাল।,positive,I enjoy the hotel and the experience is very very good.
73,এয়া যোৰহাটত সৰ্বশ্ৰেষ্ঠ বাতৰিবাৰ্তা। ই অতিশয় চমৎকাৰ।,positive,This is the best news article in Jorhat. It is extremely wonderful.
74,এই গান এলবাম আকর্ষণীয় আৰু ইয়াৰ বিষয়ে সদায় ভাল কথা শুনা যায়।,positive,This music album is attractive and you always hear good things about it.
75,এয়া ডিব্ৰুগড়ত সৰ্বশ্ৰেষ্ঠ ফিল্ম। ই অতিশয় উজ্জ্বল।,positive,This is the best film in Dibrugarh. It is extremely brilliant.
76,এই গান এলবামৰ পৰিবেশ অসাধাৰণ। মই ইয়াক অতি পছন্দ কৰোঁ।,positive,The environment of this music album is extraordinary. I like it very much.
77,এই মিউজিক ভিডিঅ’ৰ ওপৰত মোৰ সন্তুষ্টি সীমাহীন; ই সত্যই সুন্দৰ।,positive,My satisfaction with this music video is limitless; it truly is beautiful.
78,মই খেলৰ মূল্যৰ ব্যাপক প্রশংসা কৰোঁ।,positive,I highly appreciate the price of the game.
79,মই বাতৰিবাৰ্তা উপভোগ কৰোঁ আৰু অভিজ্ঞতা খুব অভূতপূর্ব।,positive,I enjoy the news article and the experience is very exceptional.
80,মই উৎসৱ উপভোগ কৰোঁ আৰু অভিজ্ঞতা খুব অবিস্মৰনীয়।,positive,I enjoy the festival and the experience is very unforgettable.
81,এই মুভি মোৰ আশাতকৈও মনোমোহা আছিল।,positive,This movie was more delightful than I expected.
82,মই বইৰ সুবিধাৰ ব্যাপক প্রশংসা কৰোঁ।,positive,I highly appreciate the convenience of the book.
83,এই ভ্ৰমণৰ ওপৰত মোৰ সন্তুষ্টি সীমাহীন; ই সত্যই অবিস্মৰনীয়।,positive,My satisfaction with this trip is limitless; it truly is unforgettable.
84,এয়া যোৰহাটত সৰ্বশ্ৰেষ্ঠ গাড়ী। ই অতিশয় আকর্ষণীয়।,positive,This is the best car in Jorhat. It is extremely attractive.
85,এই বাচ সেৱা উজ্জ্বল আৰু ইয়াৰ বিষয়ে সদায় ভাল কথা শুনা যায়।,positive,This bus service is brilliant and you always hear good things about it.
86,মই হোটেলৰ মানৰ ব্যাপক প্রশংসা কৰোঁ।,positive,I highly appreciate the quality of the hotel.
87,এই বাচ সেৱা সুন্দৰ আৰু ইয়াৰ বিষয়ে সদায় ভাল কথা শুনা যায়।,positive,This bus service is beautiful and you always hear good things about it.
88,এই অ্যাপৰ ওপৰত মোৰ সন্তুষ্টি সীমাহীন; ই সত্যই অভূতপূর্ব।,positive,My satisfaction with this app is limitless; it truly is exceptional.
89,এই কেমেৰাৰ ডেলিভাৰী অতি সন্তোষজনক। মই ইয়াক অতি পছন্দ কৰোঁ।,positive,The delivery of this camera is very satisfying. I like it very much.
90,এই ফিল্ম অবিস্মৰনীয় আৰু ইয়াৰ বিষয়ে সদায় ভাল কথা শুনা যায়।,positive,This film is unforgettable and you always hear good things about it.
91,এই ৰেষ্টুৰাণ্টৰ স্বাদ উত্তম। মই ইয়াক অতি পছন্দ কৰোঁ।,positive,The taste of this restaurant is excellent. I like it very much.
92,আমাৰ বন্ধুবান্ধৱীয়ে এই মুভিৰ কাৰ্যক্ষমতা অভূতপূর্ব বুলি কয়।,positive,My friends say the performance of this movie is exceptional.
93,মই বাচ সেৱাৰ গতিৰ ব্যাপক প্রশংসা কৰোঁ।,positive,I highly appreciate the speed of the bus service.
94,মই ট্ৰেইন সেৱাৰ সেৱাৰ ব্যাপক প্রশংসা কৰোঁ।,positive,I highly appreciate the service of the train service.
95,আমাৰ বন্ধুবান্ধৱীয়ে এই ভ্ৰমণৰ পৰিবেশ অতি ভাল বুলি কয়।,positive,My friends say the environment of this trip is very good.
96,এয়া যোৰহাটত সৰ্বশ্ৰেষ্ঠ ফোন। ই অতিশয় অবিস্মৰনীয়।,positive,This is the best phone in Jorhat. It is extremely unforgettable.
97,এই খেলৰ কাৰ্যক্ষমতা অভূতপূর্ব। মই ইয়াক অতি পছন্দ কৰোঁ।,positive,The performance of this game is exceptional. I like it very much.
98,এই অ্যাপৰ ওপৰত মোৰ সন্তুষ্টি সীমাহীন; ই সত্যই অতি ভাল।,positive,My satisfaction with this app is limitless; it truly is very good.
99,মই বেংক সেৱাৰ পৰিস্কাৰ-চোঙাৰ ব্যাপক প্রশংসা কৰোঁ।,positive,I highly appreciate the cleanliness of the bank service.
100,মই খানা উপভোগ কৰোঁ আৰু অভিজ্ঞতা খুব উত্তম।,positive,I enjoy the food item and the experience is very excellent.
101,আমাৰ বন্ধুবান্ধৱীয়ে এই বেকাৰীৰ পৰিস্কাৰ-চোঙা উজ্জ্বল বুলি কয়।,positive,My friends say the cleanliness of this bakery is brilliant.
102,এয়া টিনিচুকিয়াত সৰ্বশ্ৰেষ্ঠ হোটেল। ই অতিশয় অতি ভাল।,positive,This is the best hotel in Tinsukia. It is extremely very good.
103,এয়া শিলচৰত সৰ্বশ্ৰেষ্ঠ খানা। ই অতিশয় উজ্জ্বল।,positive,This is the best food item in Silchar. It is extremely brilliant.
104,এই অনলাইন দোকানৰ ওপৰত মোৰ সন্তুষ্টি সীমাহীন; ই সত্যই সুন্দৰ।,positive,My satisfaction with this online shop is limitless; it truly is beautiful.
105,মই খেলৰ মানৰ ব্যাপক প্রশংসা কৰোঁ।,positive,I highly appreciate the quality of the game.
106,এই গাড়ীৰ ওপৰত মোৰ সন্তুষ্টি সীমাহীন; ই সত্যই অবিস্মৰনীয়।,positive,My satisfaction with this car is limitless; it truly is unforgettable.
107,এই বেকাৰীৰ ওপৰত মোৰ সন্তুষ্টি সীমাহীন; ই সত্যই সুন্দৰ।,positive,My satisfaction with this bakery is limitless; it truly is beautiful.
108,এই হোটেলৰ পৰিস্কাৰ-চোঙা অতি সন্তোষজনক। মই ইয়াক অতি পছন্দ কৰোঁ।,positive,The cleanliness of this hotel is very satisfying. I like it very much.
109,এই অ্যাপ মোৰ আশাতকৈও অতি সন্তোষজনক আছিল।,positive,This app was more very satisfying than I expected.
110,মই মিউজিক ভিডিঅ’ উপভোগ কৰোঁ আৰু অভিজ্ঞতা খুব অবিস্মৰনীয়।,positive,I enjoy the music video and the experience is very unforgettable.
111,মই ফিল্ম উপভোগ কৰোঁ আৰু অভিজ্ঞতা খুব মনোমোহা।,positive,I enjoy the film and the experience is very delightful.
112,মই কফি দোকান উপভোগ কৰোঁ আৰু অভিজ্ঞতা খুব অতি সন্তোষজনক।,positive,I enjoy the coffee shop and the experience is very very satisfying.
113,এই খানা মোৰ আশাতকৈও অবিস্মৰনীয় আছিল।,positive,This food item was more unforgettable than I expected.
114,এয়া বেংগালুরুত সৰ্বশ্ৰেষ্ঠ ৰেষ্টুৰাণ্ট। ই অতিশয় অভূতপূর্ব।,positive,This is the best restaurant in Bangalore. It is extremely exceptional.
115,মই মিউজিক ভিডিঅ’ উপভোগ কৰোঁ আৰু অভিজ্ঞতা খুব আকর্ষণীয়।,positive,I enjoy the music video and the experience is very attractive.
116,এই খেল উত্তম আৰু ইয়াৰ বিষয়ে সদায় ভাল কথা শুনা যায়।,positive,This game is excellent and you always hear good things about it.
117,মই গান এলবামৰ পৰিবেশৰ ব্যাপক প্রশংসা কৰোঁ।,positive,I highly appreciate the environment of the music album.
118,এই বেংক সেৱা মোৰ আশাতকৈও মনোমোহা আছিল।,positive,This bank service was more delightful than I expected.
119,এই সাধাৰণ সেৱাৰ ওপৰত মোৰ সন্তুষ্টি সীমাহীন; ই সত্যই চমৎকাৰ।,positive,My satisfaction with this service is limitless; it truly is wonderful.
120,এয়া কলকাতাত সৰ্বশ্ৰেষ্ঠ বাতৰিবাৰ্তা। ই অতিশয় অভূতপূর্ব।,positive,This is the best news article in Kolkata. It is extremely exceptional.
121,এই অ্যাপৰ মান অবিস্মৰনীয়। মই ইয়াক অতি পছন্দ কৰোঁ।,positive,The quality of this app is unforgettable. I like it very much.
122,এয়া চেন্নাইত সৰ্বশ্ৰেষ্ঠ বেংক সেৱা। ই অতিশয় অভূতপূর্ব।,positive,This is the best bank service in Chennai. It is extremely exceptional.
123,মই ফিল্মৰ ডিজাইনৰ ব্যাপক প্রশংসা কৰোঁ।,positive,I highly appreciate the design of the film.
124,আমাৰ বন্ধুবান্ধৱীয়ে এই গান এলবামৰ সংগীত সুন্দৰ বুলি কয়।,positive,My friends say the music of this music album is beautiful.
125,আমাৰ বন্ধুবান্ধৱীয়ে এই মুভিৰ ডিজাইন উজ্জ্বল বুলি কয়।,positive,My friends say the design of this movie is brilliant.
126,এই ভ্ৰমণৰ ওপৰত মোৰ সন্তুষ্টি সীমাহীন; ই সত্যই সুন্দৰ।,positive,My satisfaction with this trip is limitless; it truly is beautiful.
127,মই কেমেৰা উপভোগ কৰোঁ আৰু অভিজ্ঞতা খুব অসাধাৰণ।,positive,I enjoy the camera and the experience is very extraordinary.
128,মই মুভি উপভোগ কৰোঁ আৰু অভিজ্ঞতা খুব উজ্জ্বল।,positive,I enjoy the movie and the experience is very brilliant.
129,এই গাড়ী মোৰ আশাতকৈও সুন্দৰ আছিল।,positive,This car was more beautiful than I expected.
130,মই বেংক সেৱাৰ গতিৰ ব্যাপক প্রশংসা কৰোঁ।,positive,I highly appreciate the speed of the bank service.
131,এই বেকাৰী চমৎকাৰ আৰু ইয়াৰ বিষয়ে সদায় ভাল কথা শুনা যায়।,positive,This bakery is wonderful and you always hear good things about it.
132,এই খেলৰ ওপৰত মোৰ সন্তুষ্টি সীমাহীন; ই সত্যই চমৎকাৰ।,positive,My satisfaction with this game is limitless; it truly is wonderful.
133,মই ভ্ৰমণ উপভোগ কৰোঁ আৰু অভিজ্ঞতা খুব উজ্জ্বল।,positive,I enjoy the trip and the experience is very brilliant.
134,মই বেংক সেৱা উপভোগ কৰোঁ আৰু অভিজ্ঞতা খুব সুন্দৰ।,positive,I enjoy the bank service and the experience is very beautiful.
135,এই ফোনৰ ডিজাইন অতি সন্তোষজনক। মই ইয়াক অতি পছন্দ কৰোঁ।,positive,The design of this phone is very satisfying. I like it very much.
136,মই ফোনৰ সুবিধাৰ ব্যাপক প্রশংসা কৰোঁ।,positive,I highly appreciate the convenience of the phone.
137,এই বাতৰিবাৰ্তাৰ ডিজাইন অসাধাৰণ। মই ইয়াক অতি পছন্দ কৰোঁ।,positive,The design of this news article is extraordinary. I like it very much.
138,এয়া ডেলিত সৰ্বশ্ৰেষ্ঠ হোটেল। ই অতিশয় উত্তম।,positive,This is the best hotel in Delhi. It is extremely excellent.
139,মই বেকাৰীৰ প্ৰতিক্ৰিয়াৰ ব্যাপক প্রশংসা কৰোঁ।,positive,I highly appreciate the response of the bakery.
140,আমাৰ বন্ধুবান্ধৱীয়ে এই অনলাইন দোকানৰ সেৱা অতি ভাল বুলি কয়।,positive,My friends say the service of this online shop is very good.
141,এই গাড়ীৰ প্ৰতিক্ৰিয়া সুন্দৰ। মই ইয়াক অতি পছন্দ কৰোঁ।,positive,The response of this car is beautiful. I like it very much.
142,এই সাধাৰণ সেৱাৰ মূল্য অতি ভাল। মই ইয়াক অতি পছন্দ কৰোঁ।,positive,The price of this service is very good. I like it very much.
143,এই কফি দোকানৰ সেৱা চমৎকাৰ। মই ইয়াক অতি পছন্দ কৰোঁ।,positive,The service of this coffee shop is wonderful. I like it very much.
144,এই কফি দোকান অতি সন্তোষজনক আৰু ইয়াৰ বিষয়ে সদায় ভাল কথা শুনা যায়।,positive,This coffee shop is very satisfying and you always hear good things about it.
145,মই অ্যাপ উপভোগ কৰোঁ আৰু অভিজ্ঞতা খুব উজ্জ্বল।,positive,I enjoy the app and the experience is very brilliant.
146,এই খেলা ম্যাচ চমৎকাৰ আৰু ইয়াৰ বিষয়ে সদায় ভাল কথা শুনা যায়।,positive,This sports match is wonderful and you always hear good things about it.
147,মই ফোন উপভোগ কৰোঁ আৰু অভিজ্ঞতা খুব উত্তম।,positive,I enjoy the phone and the experience is very excellent.
148,এই হোটেলৰ মান অতি সন্তোষজনক। মই ইয়াক অতি পছন্দ কৰোঁ।,positive,The quality of this hotel is very satisfying. I like it very much.
149,আমাৰ বন্ধুবান্ধৱীয়ে এই কফি দোকানৰ পৰিবেশ মনোমোহা বুলি কয়।,positive,My friends say the environment of this coffee shop is delightful.
150,এই গাড়ী চমৎকাৰ আৰু ইয়াৰ বিষয়ে সদায় ভাল কথা শুনা যায়।,positive,This car is wonderful and you always hear good things about it.
151,এই ট্ৰেইন সেৱাৰ ওপৰত মোৰ সন্তুষ্টি সীমাহীন; ই সত্যই চমৎকাৰ।,positive,My satisfaction with this train service is limitless; it truly is wonderful.
152,মই বেংক সেৱা উপভোগ কৰোঁ আৰু অভিজ্ঞতা খুব অসাধাৰণ।,positive,I enjoy the bank service and the experience is very extraordinary.
153,আমাৰ বন্ধুবান্ধৱীয়ে এই গান এলবামৰ কাহিনী উত্তম বুলি কয়।,positive,My friends say the story of this music album is excellent.
154,আমাৰ বন্ধুবান্ধৱীয়ে এই অনলাইন দোকানৰ সুবিধা আকর্ষণীয় বুলি কয়।,positive,My friends say the convenience of this online shop is attractive.
155,এই বাচ সেৱাৰ পৰিস্কাৰ-চোঙা মনোমোহা। মই ইয়াক অতি পছন্দ কৰোঁ।,positive,The cleanliness of this bus service is delightful. I like it very much.
156,এই খানাৰ ওপৰত মোৰ সন্তুষ্টি সীমাহীন; ই সত্যই অসাধাৰণ।,positive,My satisfaction with this food item is limitless; it truly is extraordinary.
157,মই গান এলবাম উপভোগ কৰোঁ আৰু অভিজ্ঞতা খুব অবিস্মৰনীয়।,positive,I enjoy the music album and the experience is very unforgettable.
158,এই অনলাইন দোকান অসাধাৰণ আৰু ইয়াৰ বিষয়ে সদায় ভাল কথা শুনা যায়।,positive,This online shop is extraordinary and you always hear good things about it.
159,এই ফিল্ম মোৰ আশাতকৈও অভূতপূর্ব আছিল।,positive,This film was more exceptional than I expected.
160,আমাৰ বন্ধুবান্ধৱীয়ে এই লেপটপৰ মূল্য অতি সন্তোষজনক বুলি কয়।,positive,My friends say the price of this laptop is very satisfying.
161,এই মিউজিক ভিডিঅ’ৰ কাৰ্যক্ষমতা চমৎকাৰ। মই ইয়াক অতি পছন্দ কৰোঁ।,positive,The performance of this music video is wonderful. I like it very much.
162,মই খেলা ম্যাচ উপভোগ কৰোঁ আৰু অভিজ্ঞতা খুব উজ্জ্বল।,positive,I enjoy the sports match and the experience is very brilliant.
163,এই অনলাইন দোকান মোৰ আশাতকৈও উজ্জ্বল আছিল।,positive,This online shop was more brilliant than I expected.
164,এই গাড়ীৰ ওপৰত মোৰ সন্তুষ্টি সীমাহীন; ই সত্যই মনোমোহা।,positive,My satisfaction with this car is limitless; it truly is delightful.
165,আমাৰ বন্ধুবান্ধৱীয়ে এই বইৰ কাৰ্যক্ষমতা উত্তম বুলি কয়।,positive,My friends say the performance of this book is excellent.
166,আমাৰ বন্ধুবান্ধৱীয়ে এই বাতৰিবাৰ্তাৰ কাৰ্যক্ষমতা আকর্ষণীয় বুলি কয়।,positive,My friends say the performance of this news article is attractive.
167,এই খেলৰ ওপৰত মোৰ সন্তুষ্টি সীমাহীন; ই সত্যই অতি সন্তোষজনক।,positive,My satisfaction with this game is limitless; it truly is very satisfying.
168,আমাৰ বন্ধুবান্ধৱীয়ে এই কেমেৰাৰ মূল্য অসাধাৰণ বুলি কয়।,positive,My friends say the price of this camera is extraordinary.
169,এয়া গুৱাহাটীত সৰ্বশ্ৰেষ্ঠ ভ্ৰমণ। ই অতিশয় উত্তম।,positive,This is the best trip in Guwahati. It is extremely excellent.
170,এয়া যোৰহাটত সৰ্বশ্ৰেষ্ঠ অ্যাপ। ই অতিশয় অতি সন্তোষজনক।,positive,This is the best app in Jorhat. It is extremely very satisfying.
171,আমাৰ বন্ধুবান্ধৱীয়ে এই কফি দোকানৰ মান অতি সন্তোষজনক বুলি কয়।,positive,My friends say the quality of this coffee shop is very satisfying.
172,মই অনলাইন দোকানৰ গতিৰ ব্যাপক প্রশংসা কৰোঁ।,positive,I highly appreciate the speed of the online shop.
173,এই হোটেলৰ ওপৰত মোৰ সন্তুষ্টি সীমাহীন; ই সত্যই মনোমোহা।,positive,My satisfaction with this hotel is limitless; it truly is delightful.
174,মই বই উপভোগ কৰোঁ আৰু অভিজ্ঞতা খুব উজ্জ্বল।,positive,I enjoy the book and the experience is very brilliant.
